package_name,weekly_downloads,repeated_characters,repeated_chars_dls,omitted_characters,omitted_chars_dls,swapped_characters,swapped_chars_dls,swapped_words,swapped_words_dls,common_typos,common_typos_dls,version_numbers,version_numbers_dls
mailparser2,2337,,,mailparser,128986,,,,,,,mailparser,128986
protobuf.js,84,,,protobufjs,2771518,,,protobufjs,2771518,protobufjs,2771518,,
wos,3,,,,,,,,,aos,31627,,
synk,66,,,,,snyk,239681,,,,,,
slidr,3,,,,,,,,,slide,2311730,,
react-swagger-ui,98,,,,,,,swagger-ui-react,11840,,,,
angularytics,1997,,,angulartics,29892,,,,,,,,
anv,0,,,,,,,,,ajv,26138020,,
un-css,1,,,,,,,uncss,144193,uncss,144193,,
cas3,0,,,,,,,,,case,85088,,
pkg5,1,,,,,,,,,,,pkg,40129
aws-lambda-chrome,0,,,,,,,chrome-aws-lambda,21997,,,,
noww,2,now,47525,,,,,,,,,,
tet,1,,,,,,,,,ret,11013682,,
rrr,1,,,,,,,,,err,16483,,
eslint-config-oairbnb,0,,,eslint-config-airbnb,1756558,,,,,,,,
asapp,44,asap,7466249,,,,,,,,,,
koa-session3,0,,,koa-session,47392,,,,,,,koa-session,47392
in-flux,1,,,influx,35319,,,influx,35319,influx,35319,,
svuelte,1,,,svelte,40550,,,,,,,,
react-time-picker3,0,,,react-time-picker,13833,,,,,,,react-time-picker,13833
tangy,2,,,,,,,,,rangy,30676,,
jjade,3295,jade,562788,,,,,,,,,,
hson,0,,,,,,,,,json,38203,,
wcrypt,0,,,,,,,,,scrypt,45244,,
rkjs,7,,,,,,,,,rijs,16120,,
ds-utils,0,,,,,,,,,fs-utils,14958,,
btypescript,0,,,typescript,9352026,,,,,,,,
typerscript,24,,,typescript,9352026,,,,,,,,
json-schemas,1,,,json-schema,13131986,,,,,,,,
bencodex,1,,,bencode,14718,,,,,,,,
request-retry,35,,,requestretry,338675,,,requestretry,338675,requestretry,338675,,
mws,0,,,,,,,,,jws,5099156,,
expl,0,,,,,,,,,expo,66648,,
macchina,3,machina,45209,machina,45209,,,,,,,,
configz,0,,,config,490896,,,,,,,,
html-postcss,293,,,,,,,postcss-html,1248214,,,,
points-in-polygon,1,,,point-in-polygon,229758,,,,,,,,
bffs,30,,,,,,,,,brfs,829644,,
bouncer,0,,,bounce,91412,,,,,,,,
gulp-css-iconfont,0,,,,,,,gulp-iconfont-css,11466,,,,
aj,1,,,,,,,,,qj,45958,,
pwm,4,,,,,,,,,pem,139843,,
voe,0,,,,,,,,,vow,137332,,
basha,0,,,,,,,,,hasha,1865059,,
cal1,0,,,,,,,,,call,199096,,
svg2pngs,3,,,svg2png,43169,,,,,,,,
almost-equal-2,0,,,,,,,,,,,almost-equal,64641
roxy,1,,,,,,,,,foxy,11218,,
fargs,13,,,,,,,,,vargs,119278,,
index-array,1,,,,,,,array-index,57891,,,,
bunyan_cloudwatch,0,,,,,,,bunyan-cloudwatch,13950,bunyan-cloudwatch,13950,,
sass-node,272,,,,,,,node-sass,4572948,,,,
storybook-router-react,2,,,,,,,storybook-react-router,89058,,,,
chunks,6,,,,,,,,,chunkd,270855,,
crypt3,3074,,,,,,,,,,,crypt,2142089
dvalidator,3,,,validator,3204037,,,,,,,,
bootstrap-daterange-picker,87,,,bootstrap-daterangepicker,101175,,,,,bootstrap-daterangepicker,101175,,
cva,0,,,,,,,,,dva,17149,,
yuo,4,,,,,,,,,yup,1176230,,
rm-dir,1,,,,,,,rmdir,38305,rmdir,38305,,
react-rate,3,,,react-rte,21110,,,,,,,,
